Citywide Months Longterm Months,Citywide Months Longterm Total New Dwellings,Citywide Months Longterm New Houses,Citywide Months Longterm New Units,Citywide Months Longterm New Apartments,Citywide Months Longterm Retirement Village Units,Citywide Months Longterm Total Construction Value,Citywide Months Longterm Residential Buildings,Citywide Months Longterm NonResidential Construction
Jan '91,21,11,7,3,0,14241948,4402886,9839062
Feb '91,32,17,9,6,0,20371468,4971772,15399696
March '91,45,18,27,0,0,18346809,6096757,12250052
April '91,14,11,3,0,0,15338803,3332434,12006369
May '91,39,16,22,1,0,11853023,6214089,5638934
June '91,41,16,8,17,0,16560952,5549544,11011408
July '91,38,24,14,0,0,8471270,5884569,2586701
Aug '91,27,13,8,6,0,7785184,3893071,3892113
Sept '91,42,33,9,0,0,11390930,6840698,4550232
Oct '91,25,17,4,4,0,8537531,4838008,3699523
Nov '91,44,31,5,8,0,9868689,7089537,2779152
Dec '91,31,26,3,2,0,12891251,5230090,7661161
Jan '92,21,19,0,2,0,7212700,5240569,1972131
Feb '92,47,38,7,2,0,9574783,7337938,2236845
March '92,46,30,15,1,0,14693619,7501941,7191678
April '92,42,24,16,2,0,7535604,5804560,1731044
May '92,19,15,4,0,0,6964154,3671908,3292246
June '92,38,23,10,5,0,9246727,5542189,3704538
July '92,31,22,9,0,0,14076881,5482640,8594241
Aug '92,37,23,10,4,0,8097340,5291917,2805423
Sept '92,46,22,24,0,0,14706864,5980875,8725989
Oct '92,31,28,2,1,0,109649789,5909919,103739870
Nov '92,37,26,8,3,0,8316076,4788322,3527754
Dec '92,31,22,4,5,0,10725882,5680074,5045808
Jan '93,70,30,7,33,0,11349666,6458785,4890881
Feb '93,35,25,8,2,0,14343240,6669916,7673324
March '93,51,32,19,0,0,8715668,6314968,2400700
April '93,48,33,15,0,0,14750685,7328417,7422268
May '93,27,27,0,0,0,19750406,5550709,14199697
June '93,40,29,7,4,0,9428478,6718923,2709555
July '93,14,9,5,0,0,10142564,3925636,6216928
Aug '93,55,20,33,2,0,11920288,7416364,4503924
Sept '93,26,23,3,0,0,9606905,4719212,4887693
Oct '93,41,30,3,8,0,116245699,7037588,109208111
Nov '93,61,20,15,26,0,19673896,8649840,11024056
Dec '93,47,30,16,1,0,11022639,7068084,3954555
Jan '94,46,28,8,10,0,16118076,7376809,8741267
Feb '94,55,15,11,29,0,12062320,7208220,4854100
March '94,59,27,10,22,0,15384215,8141814,7242401
April '94,30,14,16,0,0,15059781,7301956,7757825
May '94,30,16,4,10,0,22102565,5992739,16109826
June '94,43,27,13,3,0,12463206,7310524,5152682
July '94,52,36,1,15,0,14069972,9154920,4915052
Aug '94,76,32,30,14,0,61567995,10166645,51401350
Sept '94,39,26,8,5,0,15888745,7745188,8143557
Oct '94,45,25,11,9,0,13656822,8846623,4810199
Nov '94,40,31,9,0,0,12806154,7221839,5584315
Dec '94,78,26,31,21,0,24873823,13909546,10964277
Jan '95,34,32,2,0,0,15097193,8986553,6110640
Feb '95,52,22,28,2,0,10613236,7844496,2768740
March '95,38,28,10,0,0,17286075,8225865,9060210
April '95,55,18,3,34,0,9306041,6400854,2905187
May '95,28,25,3,0,0,16629549,5861510,10768039
June '95,20,16,2,2,0,18050846,5263546,12787300
July '95,20,16,3,1,0,10548203,5820335,4727868
Aug '95,41,21,15,5,0,18261188,7969605,10291583
Sept '95,43,24,7,12,0,14582186,8865091,5717095
Oct '95,41,27,13,1,0,14236948,10302807,3934141
Nov '95,93,34,28,31,0,26925389,19011004,7914385
Dec '95,40,22,16,2,0,20546804,7538983,13007821
Jan '96,67,15,4,48,0,18741953,10585900,8156053
Feb '96,100,21,15,64,0,33057437,11607542,21449895
March '96,43,20,14,9,0,18634823,10701167,7933656
April '96,78,35,1,42,0,16316808,9701492,6615316
May '96,56,29,14,13,0,19192416,14263325,4929091
June '96,78,16,12,50,0,20996500,12799956,8196544
July '96,65,25,40,0,0,19125968,9091126,10034842
Aug '96,73,25,9,39,0,20717400,10428700,10288700
Sept '96,53,27,22,4,0,19333508,10825426,8508082
Oct '96,43,13,30,0,0,10136781,6318736,3818045
Nov '96,47,28,11,8,0,21722672,10575280,11147392
Dec '96,53,25,28,0,0,24974269,13498599,11475670
Jan '97,32,20,12,0,0,9359130,6030300,3328830
Feb '97,121,15,106,0,0,46980981,16719809,30261172
March '97,38,14,24,0,0,21878948,7443956,14434992
April '97,51,32,19,0,0,17590294,9806350,7783944
May '97,65,21,44,0,0,114857661,11239214,103618447
June '97,141,38,13,90,0,22895021,18297600,4597421
July '97,108,44,20,44,0,29589745,21388682,8201063
Aug '97,111,28,73,10,0,32849610,14805973,18043637
Sept '97,73,32,41,0,0,21075884,14782035,6293849
Oct '97,154,30,8,116,0,62830599,15314975,47515624
Nov '97,120,40,38,42,0,26809414,16375764,10433650
Dec '97,121,49,72,0,0,23304759,15643271,7661488
Jan '98,154,23,119,12,0,21560957,16486867,5074090
Feb '98,157,20,126,6,5,37360920,15804269,21556651
March '98,77,40,37,0,0,24844327,15589994,9254333
April '98,96,35,61,0,0,122934893,27455564,95479329
May '98,109,31,78,0,0,21263053,11533437,9729616
June '98,95,24,71,0,0,26493356,14280111,12213245
July '98,226,34,170,22,0,20598506,14888410,5710096
Aug '98,60,25,35,0,0,28508958,11231666,17277292
Sept '98,100,26,20,24,30,20653192,14470451,6182741
Oct '98,63,30,25,8,0,22163249,13012840,9150409
Nov '98,61,27,32,0,2,22387595,11674545,10713050
Dec '98,123,35,20,66,2,28553983,18453180,10100803
Jan '99,49,17,22,10,0,12505350,8567299,3938051
Feb '99,47,22,20,5,0,18647692,10762085,7885607
March '99,150,50,56,44,0,30311839,19494479,10817360
April '99,84,41,43,0,0,30576369,16395009,14181360
May '99,71,34,37,0,0,28502523,14299913,14202610
June '99,82,25,57,0,0,42835183,13143977,29691206
July '99,173,40,133,0,0,38650375,23634424,15015951
Aug '99,143,43,97,3,0,29719910,21190754,8529156
Sept '99,109,34,26,8,41,36050442,16976721,19073721
Oct '99,104,53,49,2,0,33545677,18900250,14645427
Nov '99,122,42,42,38,0,42971166,21754768,21216398
Dec '99,105,46,17,42,0,22946265,18045765,4900500
Jan '00,38,19,1,18,0,21737382,10755754,10981628
Feb '00,77,42,35,0,0,16196572,13076375,3120197
March '00,82,61,17,0,4,34973821,23370156,11603665
April '00,82,36,8,38,0,19432626,13210658,6221968
May '00,70,36,8,26,0,31731743,16144410,15587333
June '00,76,65,9,2,0,26775130,16712372,10062758
July '00,117,30,86,0,1,25255186,18194368,7060818
Aug '00,58,37,14,6,1,27781360,15220409,12560951
Sept '00,144,38,71,35,0,48259693,22990856,25268837
Oct '00,112,37,43,7,25,66726810,21880491,44846319
Nov '00,83,30,50,3,0,31084631,16018845,15065786
Dec '00,78,24,51,3,0,33688513,18133215,15555298
Jan '01,106,30,59,17,0,30870998,20863738,10007260
Feb '01,40,25,9,6,0,17472184,9099184,8373000
March '01,77,34,42,1,0,37764367,15264234,22500133
April '01,101,27,13,61,0,33743052,24680623,9062429
May '01,81,32,35,14,0,36924216,16503210,20421006
June '01,87,28,59,0,0,38577551,13512155,25065396
July '01,102,40,59,1,2,29015400,16839135,12176265
Aug '01,213,33,12,168,0,47583755,30569547,17014208
Sept '01,53,32,19,2,0,25364653,14962661,10401992
Oct '01,64,26,19,19,0,28648395,14947160,13701235
Nov '01,57,25,19,13,0,27446567,15089668,12356899
Dec '01,87,25,13,44,5,24921991,19063146,5858845
Jan '02,52,26,26,0,0,16247165,12688165,3559000
Feb '02,47,29,18,0,0,20057659,11959074,8098585
March '02,18,10,8,0,0,19097091,9100734,9996357
April '02,54,18,32,4,0,22095184,14435101,7660083
May '02,117,26,12,79,0,29478684,23042749,6435935
June '02,45,21,23,1,0,23410087,11302250,12107837
July '02,183,28,4,116,35,49653291,23273942,26379349
Aug '02,61,39,21,1,0,22882338,15352099,7530239
Sept '02,106,27,34,45,0,36274348,23345663,12928685
Oct '02,181,41,45,95,0,48244805,36010005,12234800
Nov '02,230,21,95,114,0,49790154,37203002,12587152
Dec '02,158,38,25,95,0,30604505,20601874,10002631
Jan '03,88,34,13,8,33,29954633,18809963,11144670
Feb '03,33,21,8,4,0,24917950,11482275,13435675
March '03,56,29,24,3,0,23437285,15164785,8272500
April '03,212,37,16,159,0,51012004,43736152,7275852
May '03,133,50,21,62,0,33523503,23354249,10169254
June '03,101,27,30,44,0,32033791,16670686,15363105
July '03,91,30,17,44,0,37447748,22689498,14758250
Aug '03,182,34,15,118,15,54108972,39328250,14780722
Sept '03,42,28,13,1,0,26919838,14965296,11954542
Oct '03,96,39,11,46,0,37926660,26037660,11889000
Nov '03,109,67,26,16,0,37590181,24030554,13559627
Dec '03,180,33,34,113,0,70716071,40401821,30314250
Jan '04,148,18,20,110,0,29722775,18200998,11521777
Feb '04,58,34,9,15,0,19193564,13177884,6015680
March '04,117,28,16,49,24,37755473,24583161,13172312
April '04,39,25,13,1,0,19121924,12942424,6179500
May '04,92,29,26,37,0,55185476,20345608,34839868
June '04,230,38,17,175,0,54032243,25895801,28136442
July '04,108,38,14,56,0,61861169,28287789,33573380
Aug '04,37,22,11,4,0,28325385,11658731,16666654
Sept '04,53,39,7,7,0,21934872,15518027,6416845
Oct '04,63,32,13,18,0,65041643,18379952,46661691
Nov '04,65,33,32,0,0,111891414,20987263,90904151
Dec '04,37,26,8,3,0,28479125,15828665,12650460
Jan '05,34,21,13,0,0,23531231,11605384,11925847
Feb '05,23,19,4,0,0,30742647,14148122,16594525
March '05,259,38,18,203,0,75108149,58302135,16806014
April '05,13,11,1,1,0,14435698,5422740,9012958
May '05,43,26,15,2,0,31899947,17251008,14648939
June '05,94,17,15,62,0,49588739,18341152,31247587
July '05,42,28,14,0,0,23016246,13202522,9813724
Aug '05,62,24,9,29,0,51949942,14550866,37399076
Sept '05,151,25,18,108,0,49264843,27354476,21910367
Oct '05,81,28,15,38,0,36765757,17315280,19450477
Nov '05,53,27,24,2,0,75635053,32244980,43390073
Dec '05,40,28,10,2,0,152396048,19446548,132949500
Jan '06,26,17,8,1,0,39825551,16923116,22902435
Feb '06,126,29,19,7,71,49240410,30678410,18562000
March '06,75,27,17,31,0,48228596,21624269,26604327
April '06,27,13,14,0,0,16586860,8978860,7608000
May '06,46,25,20,1,0,31674219,17345177,14329042
June '06,49,22,10,17,0,46723159,17870322,28852837
July '06,44,25,16,3,0,25192722,14735172,10457550
Aug '06,45,25,20,0,0,35354252,16488669,18865583
Sept '06,42,29,9,4,0,41066131,17551341,23514790
Oct '06,35,23,11,1,0,23178985,16450168,6728817
Nov '06,52,32,19,1,0,36853170,20310676,16542494
Dec '06,66,28,38,0,0,41593966,24087419,17506547
Jan '07,43,22,21,0,0,30744308,16777645,13966663
Feb '07,33,16,16,1,0,52412802,15640402,36772400
March '07,58,22,4,32,0,62463768,16771081,45692687
April '07,57,20,29,8,0,32654830,15101879,17552951
May '07,44,30,11,3,0,28279021,19293369,8985652
June '07,160,31,28,101,0,42109497,32392997,9716500
July '07,80,20,12,48,0,37809226,16130973,21678253
Aug '07,55,22,15,18,0,81334666,23270754,58063912
Sept '07,51,27,11,13,0,50499800,27155510,23344290
Oct '07,42,25,16,1,0,76182109,17986700,58195409
Nov '07,80,23,52,5,0,69316365,20452365,48864000
Dec '07,95,21,62,12,0,52243253,23759103,28484150
Jan '08,42,26,12,4,0,49031251,16143021,32888230
Feb '08,66,21,9,36,0,48618578,38930008,9688570
March '08,27,19,8,0,0,43531367,12628262,30903105
April '08,352,12,13,327,0,69104854,48234562,20870292
May '08,51,25,26,0,0,30243939,18753827,11490112
June '08,22,15,6,1,0,27976613,12184626,15791987
July '08,135,15,7,113,0,42513167,25258310,17254857
Aug '08,123,37,21,65,0,62642841,42540669,20102172
Sept '08,149,6,11,132,0,74122224,39353099,34769125
Oct '08,41,13,17,9,2,34220344,15958075,18262269
Nov '08,22,16,6,0,0,65241156,24455110,40786046
Dec '08,22,15,7,0,0,40634977,21376054,19258923
Jan '09,14,13,1,0,0,136392590,25041499,111351091
Feb '09,164,16,11,137,0,33930327,24170329,9759998
March '09,16,9,6,1,0,30562569,16977653,13584916
April '09,24,17,7,0,0,63461249,12874935,50586314
May '09,26,20,3,0,3,62999516,14130752,48868764
June '09,66,20,3,43,0,29098480,18941880,10156600
July '09,39,31,6,2,0,35486589,18507589,16979000
Aug '09,34,17,2,15,0,68762879,12207731,56555148
Sept '09,22,17,4,1,0,28088637,13770145,14318492
Oct '09,38,16,7,15,0,26199189,13346798,12852391
Nov '09,38,21,14,3,0,59203977,32704542,26499435
Dec '09,69,25,6,38,0,51423328,18735728,32687600
Jan '10,26,17,9,0,0,17826560,12531960,5294600
Feb '10,44,30,14,0,0,30526112,17128814,13397298
March '10,56,43,13,0,0,61590425,25889175,35701250
April '10,45,20,25,0,0,21458803,15912843,5545960
May '10,57,29,15,10,3,55723061,21460786,34262275
June '10,62,22,5,35,0,47110367,36808578,10301789
July '10,20,18,2,0,0,24474456,9803241,14671215
Aug '10,60,28,6,26,0,51439866,36419236,15020630
Sept '10,31,21,9,1,0,42637647,16747647,25890000
Oct '10,23,12,10,1,0,28162828,11925898,16236930
Nov '10,66,23,6,37,0,109420146,42916928,66503218
Dec '10,72,12,5,55,0,36338065,14015025,22323040
Jan '11,15,10,1,4,0,18556326,11762600,6793726
Feb '11,41,17,22,2,0,45225310,20024310,25201000
March '11,54,24,2,28,0,65379624,28065314,37314310
April '11,29,18,10,1,0,46973791,22609514,24364277
May '11,24,13,10,1,0,45305588,14200940,31104648
June '11,20,17,3,0,0,31215366,11550984,19664382
July '11,42,29,13,0,0,36607878,18718453,17889425
Aug '11,22,19,3,0,0,50099995,13932495,36167500
Sept '11,22,10,8,4,0,29071379,11300209,17771170
Oct '11,35,20,15,0,0,59006123,16145223,42860900
Nov '11,31,22,6,3,0,34294714,20051494,14243220
Dec '11,140,21,12,107,0,70090348,53549498,16540850
Jan '12,18,18,0,0,0,18097470,11552020,6545450
Feb '12,33,27,5,1,0,25135217,16464217,8671000
March '12,63,20,2,41,0,42482724,21446684,21036040
April '12,20,10,9,1,0,25543086,9486754,16056332
May '12,24,20,4,0,0,34437928,13540715,20897213
June '12,98,21,1,76,0,24786676,19909481,4877195
July '12,56,17,21,18,0,27832645,18379338,9453307
Aug '12,33,25,5,3,0,45219647,17323572,27896075
Sept '12,39,17,9,13,0,74763179,59072794,15690385
Oct '12,17,16,1,0,0,38152327,14118354,24033973
Nov '12,35,18,14,3,0,51761429,25280411,26481018
Dec '12,65,16,5,44,0,46157727,22163320,23994407
Jan '13,24,17,6,1,0,45404487,34316597,11087890
Feb '13,23,16,7,0,0,26539128,16421592,10117536
March '13,23,19,3,1,0,51107017,16850357,34256660
April '13,115,22,11,82,0,71460715,55058215,16402500
May '13,33,15,18,0,0,65773962,29058127,36715835
June '13,18,18,0,0,0,38133524,11618524,26515000
July '13,31,19,7,4,1,27772593,15186593,12586000
Aug '13,31,24,2,5,0,44430495,29902230,14528265
Sept '13,52,31,21,0,0,43845944,20260302,23585642
Oct '13,96,29,21,45,1,55684624,30358324,25326300
Nov '13,148,22,15,111,0,40214247,27928947,12285300
Dec '13,29,22,5,2,0,30434507,13606193,16828314
Jan '14,61,21,6,0,34,63104487,23525447,39579040
Feb '14,44,20,15,9,0,90120035,35682996,54437039
March '14,24,21,3,0,0,50614800,14834678,35780122
April '14,69,27,2,40,0,30987383,17237313,13750070
May '14,29,20,4,5,0,25405436,15667290,9738146
June '14,34,26,8,0,0,27776449,16657449,11119000
July '14,40,20,20,0,0,50966867,18831683,32135184
Aug '14,31,13,15,3,0,33068192,17346297,15721895
Sept '14,81,18,7,56,0,64263379,22118575,42144804
Oct '14,45,28,17,0,0,37073379,21980809,15092570
Nov '14,12,10,2,0,0,65019983,9558895,55461088
Dec '14,74,17,23,34,0,52302435,23372688,28929747
Jan '15,76,16,36,24,0,34918810,22804651,12114159
Feb '15,48,34,8,6,0,41650844,24703494,16947350
March '15,40,30,10,0,0,61948459,25404911,36543548
April '15,25,17,8,0,0,43897624,23343138,20554486
May '15,40,35,5,0,0,56718668,20322274,36396394
June '15,36,24,12,0,0,32411369,16477369,15934000
July '15,29,26,2,1,0,38255090,16208590,22046500
Aug '15,64,13,51,0,0,41857751,24744348,17113403
Sept '15,24,20,4,0,0,113731728,13360128,100371600
Oct '15,69,20,17,32,0,48467685,20211189,28256496
Nov '15,148,20,29,99,0,37343057,19342564,18000493
Dec '15,41,24,14,3,0,76987900,20265090,56722810
Jan '16,58,14,6,4,34,69260742,26070013,43190729
Feb '16,39,27,12,0,0,32156988,15719607,16437381
March '16,32,21,0,11,0,39048761,17430561,21618200
April '16,28,23,5,0,0,28848158,17459875,11388283
May '16,31,24,4,3,0,50163803,25607523,24556280
June '16,51,22,17,12,0,54183834,18476199,35707635
