Year,TotalDwellingsAro Valley,TotalDwellingsBerhampore,TotalDwellingsBreaker Bay,TotalDwellingsBroadmeadows,TotalDwellingsBrooklyn,TotalDwellingsChurton Park,TotalDwellingsCrofton Downs,TotalDwellingsGlenside,TotalDwellingsGrenada North,TotalDwellingsGrenada Village,TotalDwellingsHataitai,TotalDwellingsHighbury,TotalDwellingsHorokiwi,TotalDwellingsHoughton Bay,TotalDwellingsIsland Bay,TotalDwellingsJohnsonville,TotalDwellingsKaiwharawhara,TotalDwellingsKaraka Bays,TotalDwellingsKarori,TotalDwellingsKelburn,TotalDwellingsKhandallah,TotalDwellingsKilbirnie,TotalDwellingsKingston,TotalDwellingsLyall Bay,TotalDwellingsMakara,TotalDwellingsMakara Beach,TotalDwellingsMaupuia,TotalDwellingsMelrose,TotalDwellingsMiramar,TotalDwellingsMoa Point,TotalDwellingsMornington,TotalDwellingsMt Cook,TotalDwellingsMt Victoria,TotalDwellingsNewlands,TotalDwellingsNewtown,TotalDwellingsNgaio,TotalDwellingsNgauranga,TotalDwellingsNorthland,TotalDwellingsOhariu,TotalDwellingsOriental Bay,TotalDwellingsOwhiro Bay,TotalDwellingsPaparangi,TotalDwellingsPipitea,TotalDwellingsRongotai,TotalDwellingsRoseneath,TotalDwellingsSeatoun,TotalDwellingsSouthgate,TotalDwellingsStrathmore Park,TotalDwellingsTakapu Valley,TotalDwellingsTawa,TotalDwellingsTe Aro,TotalDwellingsThorndon,TotalDwellingsVogeltown,TotalDwellingsWadestown,TotalDwellingsWellington Central,TotalDwellingsWilton,TotalDwellingsWoodridge,TotalDwellingsWellington City Total,HousesAro Valley,HousesBerhampore,HousesBreaker Bay,HousesBroadmeadows,HousesBrooklyn,HousesChurton Park,HousesCrofton Downs,HousesGlenside,HousesGrenada North,HousesGrenada Village,HousesHataitai,HousesHighbury,HousesHorokiwi,HousesHoughton Bay,HousesIsland Bay,HousesJohnsonville,HousesKaiwharawhara,HousesKaraka Bays,HousesKarori,HousesKelburn,HousesKhandallah,HousesKilbirnie,HousesKingston,HousesLyall Bay,HousesMakara,HousesMakara Beach,HousesMaupuia,HousesMelrose,HousesMiramar,HousesMoa Point,HousesMornington,HousesMt Cook,HousesMt Victoria,HousesNewlands,HousesNewtown,HousesNgaio,HousesNgauranga,HousesNorthland,HousesOhariu,HousesOriental Bay,HousesOwhiro Bay,HousesPaparangi,HousesPipitea,HousesRongotai,HousesRoseneath,HousesSeatoun,HousesSouthgate,HousesStrathmore Park,HousesTakapu Valley,HousesTawa,HousesTe Aro,HousesThorndon,HousesVogeltown,HousesWadestown,HousesWellington Central,HousesWilton,HousesWoodridge,HousesWellington City Total,UnitsAro Valley,UnitsBerhampore,UnitsBreaker Bay,UnitsBroadmeadows,UnitsBrooklyn,UnitsChurton Park,UnitsCrofton Downs,UnitsGlenside,UnitsGrenada North,UnitsGrenada Village,UnitsHataitai,UnitsHighbury,UnitsHorokiwi,UnitsHoughton Bay,UnitsIsland Bay,UnitsJohnsonville,UnitsKaiwharawhara,UnitsKaraka Bays,UnitsKarori,UnitsKelburn,UnitsKhandallah,UnitsKilbirnie,UnitsKingston,UnitsLyall Bay,UnitsMakara,UnitsMakara Beach,UnitsMaupuia,UnitsMelrose,UnitsMiramar,UnitsMoa Point,UnitsMornington,UnitsMt Cook,UnitsMt Victoria,UnitsNewlands,UnitsNewtown,UnitsNgaio,UnitsNgauranga,UnitsNorthland,UnitsOhariu,UnitsOriental Bay,UnitsOwhiro Bay,UnitsPaparangi,UnitsPipitea,UnitsRongotai,UnitsRoseneath,UnitsSeatoun,UnitsSouthgate,UnitsStrathmore Park,UnitsTakapu Valley,UnitsTawa,UnitsTe Aro,UnitsThorndon,UnitsVogeltown,UnitsWadestown,UnitsWellington Central,UnitsWilton,UnitsWoodridge,UnitsWellington City Total,ApartmentsAro Valley,ApartmentsBerhampore,ApartmentsBreaker Bay,ApartmentsBroadmeadows,ApartmentsBrooklyn,ApartmentsChurton Park,ApartmentsCrofton Downs,ApartmentsGlenside,ApartmentsGrenada North,ApartmentsGrenada Village,ApartmentsHataitai,ApartmentsHighbury,ApartmentsHorokiwi,ApartmentsHoughton Bay,ApartmentsIsland Bay,ApartmentsJohnsonville,ApartmentsKaiwharawhara,ApartmentsKaraka Bays,ApartmentsKarori,ApartmentsKelburn,ApartmentsKhandallah,ApartmentsKilbirnie,ApartmentsKingston,ApartmentsLyall Bay,ApartmentsMakara,ApartmentsMakara Beach,ApartmentsMaupuia,ApartmentsMelrose,ApartmentsMiramar,ApartmentsMoa Point,ApartmentsMornington,ApartmentsMt Cook,ApartmentsMt Victoria,ApartmentsNewlands,ApartmentsNewtown,ApartmentsNgaio,ApartmentsNgauranga,ApartmentsNorthland,ApartmentsOhariu,ApartmentsOriental Bay,ApartmentsOwhiro Bay,ApartmentsPaparangi,ApartmentsPipitea,ApartmentsRongotai,ApartmentsRoseneath,ApartmentsSeatoun,ApartmentsSouthgate,ApartmentsStrathmore Park,ApartmentsTakapu Valley,ApartmentsTawa,ApartmentsTe Aro,ApartmentsThorndon,ApartmentsVogeltown,ApartmentsWadestown,ApartmentsWellington Central,ApartmentsWilton,ApartmentsWoodridge,ApartmentsWellington City Total,Retirement Village UnitsAro Valley,Retirement Village UnitsBerhampore,Retirement Village UnitsBreaker Bay,Retirement Village UnitsBroadmeadows,Retirement Village UnitsBrooklyn,Retirement Village UnitsChurton Park,Retirement Village UnitsCrofton Downs,Retirement Village UnitsGlenside,Retirement Village UnitsGrenada North,Retirement Village UnitsGrenada Village,Retirement Village UnitsHataitai,Retirement Village UnitsHighbury,Retirement Village UnitsHorokiwi,Retirement Village UnitsHoughton Bay,Retirement Village UnitsIsland Bay,Retirement Village UnitsJohnsonville,Retirement Village UnitsKaiwharawhara,Retirement Village UnitsKaraka Bays,Retirement Village UnitsKarori,Retirement Village UnitsKelburn,Retirement Village UnitsKhandallah,Retirement Village UnitsKilbirnie,Retirement Village UnitsKingston,Retirement Village UnitsLyall Bay,Retirement Village UnitsMakara,Retirement Village UnitsMakara Beach,Retirement Village UnitsMaupuia,Retirement Village UnitsMelrose,Retirement Village UnitsMiramar,Retirement Village UnitsMoa Point,Retirement Village UnitsMornington,Retirement Village UnitsMt Cook,Retirement Village UnitsMt Victoria,Retirement Village UnitsNewlands,Retirement Village UnitsNewtown,Retirement Village UnitsNgaio,Retirement Village UnitsNgauranga,Retirement Village UnitsNorthland,Retirement Village UnitsOhariu,Retirement Village UnitsOriental Bay,Retirement Village UnitsOwhiro Bay,Retirement Village UnitsPaparangi,Retirement Village UnitsPipitea,Retirement Village UnitsRongotai,Retirement Village UnitsRoseneath,Retirement Village UnitsSeatoun,Retirement Village UnitsSouthgate,Retirement Village UnitsStrathmore Park,Retirement Village UnitsTakapu Valley,Retirement Village UnitsTawa,Retirement Village UnitsTe Aro,Retirement Village UnitsThorndon,Retirement Village UnitsVogeltown,Retirement Village UnitsWadestown,Retirement Village UnitsWellington Central,Retirement Village UnitsWilton,Retirement Village UnitsWoodridge,Retirement Village UnitsWellington City Total,ConstructionValueAro Valley,ConstructionValueBerhampore,ConstructionValueBreaker Bay,ConstructionValueBroadmeadows,ConstructionValueBrooklyn,ConstructionValueChurton Park,ConstructionValueCrofton Downs,ConstructionValueGlenside,ConstructionValueGrenada North,ConstructionValueGrenada Village,ConstructionValueHataitai,ConstructionValueHighbury,ConstructionValueHorokiwi,ConstructionValueHoughton Bay,ConstructionValueIsland Bay,ConstructionValueJohnsonville,ConstructionValueKaiwharawhara,ConstructionValueKaraka Bays,ConstructionValueKarori,ConstructionValueKelburn,ConstructionValueKhandallah,ConstructionValueKilbirnie,ConstructionValueKingston,ConstructionValueLyall Bay,ConstructionValueMakara,ConstructionValueMakara Beach,ConstructionValueMaupuia,ConstructionValueMelrose,ConstructionValueMiramar,ConstructionValueMoa Point,ConstructionValueMornington,ConstructionValueMt Cook,ConstructionValueMt Victoria,ConstructionValueNewlands,ConstructionValueNewtown,ConstructionValueNgaio,ConstructionValueNgauranga,ConstructionValueNorthland,ConstructionValueOhariu,ConstructionValueOriental Bay,ConstructionValueOwhiro Bay,ConstructionValuePaparangi,ConstructionValuePipitea,ConstructionValueRongotai,ConstructionValueRoseneath,ConstructionValueSeatoun,ConstructionValueSouthgate,ConstructionValueStrathmore Park,ConstructionValueTakapu Valley,ConstructionValueTawa,ConstructionValueTe Aro,ConstructionValueThorndon,ConstructionValueVogeltown,ConstructionValueWadestown,ConstructionValueWellington Central,ConstructionValueWilton,ConstructionValueWoodridge,ConstructionValueWellington City Total
2004,1,5,0,3,18,111,3,2,0,2,12,0,0,2,13,53,12,0,37,2,34,47,0,11,1,0,1,5,44,0,2,56,37,47,17,12,0,8,6,1,3,5,0,1,2,13,1,11,1,38,307,38,2,3,3,5,9,1047,1,2,0,1,9,93,1,0,0,2,5,0,0,2,8,35,9,0,10,1,25,2,0,6,1,0,0,2,12,0,0,6,2,35,8,6,0,3,6,1,1,1,0,1,1,12,1,9,1,20,1,5,2,3,1,0,9,362,0,1,0,2,5,18,2,0,0,0,7,0,0,0,4,18,3,0,13,1,9,0,0,5,0,0,1,3,32,0,2,3,0,12,6,6,0,3,0,0,2,4,0,0,1,1,0,1,0,12,0,2,0,0,2,5,0,186,0,2,0,0,4,0,0,2,0,0,0,0,0,0,1,0,0,0,14,0,0,21,0,0,0,0,0,0,0,0,0,47,35,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,6,306,31,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,394260,1599485,5000,774900,7092620,24644915,1358400,750000,2650000,527800,6039449,153200,108000,1298000,5279660,12130648,5026117,767000,13315571,5980231,13331558,8865155,69500,2893253,462500,138000,841987,1695024,17310848,112000,869037,19984300,13027147,10592812,17922585,5825250,771812,2244053,2367595,2177385,1249100,857450,11887680,1360560,2668000,9978120,564000,4431450,816000,13685967,67138904,89428263,856775,3613750,113272679,2432350,1805000,537443105
2005,3,0,1,9,37,72,1,1,0,1,4,0,0,1,6,59,10,3,16,13,30,3,2,1,1,0,6,3,17,0,2,37,11,16,14,7,6,5,3,0,3,4,0,0,2,13,2,5,2,18,391,17,3,5,3,8,18,895,1,0,1,2,30,69,1,1,0,1,3,0,0,1,3,27,8,1,8,1,27,3,2,1,1,0,2,1,9,0,0,0,0,15,4,7,0,3,3,0,1,0,0,0,2,12,1,3,2,7,0,0,2,4,0,5,17,292,2,0,0,7,7,3,0,0,0,0,1,0,0,0,3,32,2,2,8,10,3,0,0,0,0,0,4,2,8,0,0,7,7,1,10,0,6,2,0,0,1,4,0,0,0,1,1,2,0,5,3,3,1,1,3,3,1,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,30,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,388,14,0,0,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1554500,3775780,655000,1224500,10973380,18777819,764500,395000,1393000,557200,3437224,458000,225600,1553000,5624150,13166613,9096700,1717000,13190461,17288836,23159522,12019100,940100,873000,647462,53937,1097730,1554800,9985000,175000,610000,7685223,8334288,4885053,147845144,6604972,5275385,3270820,1678000,1517700,1321000,2756700,22474925,18019500,2325250,7548369,161000,4883313,875000,4563796,112105317,22175452,906000,4758510,59360699,2974170,3564000,614813500
2006,10,42,0,8,20,68,2,1,0,2,14,0,0,5,16,90,4,4,19,2,44,2,1,4,0,0,0,2,39,0,0,11,10,32,35,12,0,2,1,17,2,5,0,2,2,7,1,7,1,27,27,3,5,3,1,0,21,633,1,0,0,2,9,66,2,1,0,2,6,0,0,2,5,37,4,2,14,2,21,2,0,1,0,0,0,1,15,0,0,1,0,24,4,8,0,0,1,0,0,3,0,0,1,6,0,7,1,19,1,1,1,1,0,0,21,295,9,7,0,6,10,2,0,0,0,0,8,0,0,3,11,17,0,2,5,0,23,0,1,3,0,0,0,1,24,0,0,10,0,8,23,4,0,2,0,0,2,2,0,2,1,0,1,0,0,8,0,0,4,2,0,0,0,201,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,26,2,0,0,1,0,0,66,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,2264800,5668432,395000,1571630,8787350,20963628,1983000,768000,3126000,2535500,6631972,158000,750000,1640694,7909743,24279686,2629100,3706850,15814532,7491072,19452240,5248761,225700,1576170,33500,153000,274000,669350,12473920,0,651500,7267617,5929135,10202437,27886606,6220099,5437250,2358728,933600,8878000,1075535,2924000,13397229,15304650,2381350,10409200,881198,4607792,1103500,8953890,51259275,11774000,1322400,4685900,65789061,1126300,4851500,436793382
2007,5,6,0,9,26,63,5,0,0,3,8,0,0,3,21,44,5,1,97,8,35,1,0,5,2,0,5,2,27,0,0,38,12,17,68,9,0,4,3,1,0,4,0,1,1,11,2,4,1,38,80,0,5,8,99,1,14,802,2,0,0,7,13,58,5,0,0,3,2,0,0,3,5,36,5,1,9,2,19,0,0,5,2,0,0,1,16,0,0,3,0,15,2,5,0,0,3,1,0,3,0,0,0,4,1,2,1,27,0,0,1,2,0,1,14,279,3,6,0,2,7,5,0,0,0,0,6,0,0,0,16,8,0,0,88,6,16,1,0,0,0,0,3,1,11,0,0,2,7,2,52,4,0,1,0,0,0,1,0,0,0,7,1,2,0,11,2,0,4,6,0,0,0,281,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,33,5,0,14,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,78,0,0,0,99,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2301900,1667735,34000,2165600,12670572,18567009,1813132,113000,3709600,873300,6185400,1590000,210300,933855,10094283,13279050,3351000,2846775,22638297,58375774,18189275,3814500,105500,2383108,3805780,0,2402500,1045700,12224795,68000,461383,9724000,7513188,8757051,14963250,5432650,4088000,5498039,1364950,4502354,1467000,1624180,43932468,9215540,2483805,8792600,1385600,2619200,452000,13134507,50948394,57088300,1181000,5759372,144189289,1056520,2831600,617925980
2008,7,4,0,4,18,31,4,0,0,3,47,0,0,3,23,38,6,1,20,6,18,7,0,1,1,0,0,1,18,1,0,57,1,20,31,15,0,2,0,1,1,3,0,2,3,5,0,7,1,35,582,2,6,3,0,9,4,1052,2,4,0,1,6,29,3,0,0,3,2,0,0,1,13,29,4,1,9,1,13,1,0,0,1,0,0,1,15,1,0,0,1,12,2,4,0,1,0,0,1,2,0,1,1,4,0,6,1,32,2,0,1,3,0,2,4,220,5,0,0,3,12,2,1,0,0,0,2,0,0,2,10,9,2,0,11,5,5,6,0,1,0,0,0,0,3,0,0,0,0,8,27,11,0,1,0,1,0,1,0,1,0,1,0,1,0,3,1,0,5,0,0,3,0,143,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,579,2,0,0,0,4,0,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1749500,8225051,382000,1404900,9095805,9476530,1739400,105000,4391959,873300,19892875,86200,204500,1942699,15160170,12866608,3699000,820000,17825349,30191095,13458318,4822387,667000,1490320,1016200,828000,420000,1775900,8351827,170000,433300,9127427,6201402,6538450,21947060,7913000,3656044,3100773,860600,3557000,1403200,3492481,102662896,20974125,3000270,8619500,734200,5392000,600000,15465534,104142284,11436200,1056850,5755510,64169762,2861500,1281350,589514611
2009,3,1,1,0,11,29,4,0,0,19,3,0,1,1,18,33,3,2,16,2,13,0,1,1,1,1,0,2,10,0,2,15,2,13,13,4,0,3,6,1,6,5,30,0,6,7,2,2,1,39,198,4,0,4,0,0,11,550,3,0,1,0,6,28,4,0,0,19,2,0,1,1,6,24,3,2,12,1,8,0,1,0,1,1,0,0,9,0,0,0,1,7,2,3,0,1,6,1,6,2,0,0,3,5,1,2,1,31,0,2,0,4,0,0,11,222,0,1,0,0,5,1,0,0,0,0,1,0,0,0,1,9,0,0,4,1,5,0,0,1,0,0,0,2,1,0,2,0,1,6,10,1,0,0,0,0,0,3,0,0,3,2,1,0,0,7,0,2,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,2,0,0,0,0,30,0,0,0,0,0,0,1,198,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2195693,1323692,954000,261000,7630280,11815575,14669305,0,178959,4771902,5674430,99758,389974,542000,8088535,12239855,1393561,4172000,17685758,42314704,11647669,42929395,88000,1212000,290853,182014,316500,990000,10847995,47000,1146681,15143500,4513386,4258522,37951070,5915355,3522570,2872358,4043000,819000,3000000,1564583,127342100,4483000,3473500,6780350,891902,2440460,534000,19193750,53086974,32864097,183991,7313761,73976138,978375,2780000,626024830
